question_id,question_type,target_document,question,expected_behavior
Q001,contract_review,contract_01.pdf,자동갱신 또는 장기 해지통보 조건을 찾아줘.,문서명과 조항 근거를 반드시 포함
Q002,contract_review,contract_02.pdf,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q003,contract_review,contract_03.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q004,contract_review,contract_04.pdf,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,문서명과 조항 근거를 반드시 포함
Q005,contract_review,contract_05.pdf,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,문서명과 조항 근거를 반드시 포함
Q006,contract_review,contract_06.pdf,지식재산권 귀속 조건을 요약해줘.,문서명과 조항 근거를 반드시 포함
Q007,contract_review,contract_07.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q008,contract_review,contract_08.pdf,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q009,contract_review,contract_09.pdf,지식재산권 귀속 조건을 요약해줘.,문서명과 조항 근거를 반드시 포함
Q010,contract_review,contract_10.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q011,contract_review,contract_11.pdf,지식재산권 귀속 조건을 요약해줘.,문서명과 조항 근거를 반드시 포함
Q012,contract_review,contract_12.pdf,자동갱신 또는 장기 해지통보 조건을 찾아줘.,문서명과 조항 근거를 반드시 포함
Q013,contract_review,contract_13.pdf,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,문서명과 조항 근거를 반드시 포함
Q014,contract_review,contract_14.pdf,지식재산권 귀속 조건을 요약해줘.,문서명과 조항 근거를 반드시 포함
Q015,contract_review,contract_15.pdf,지식재산권 귀속 조건을 요약해줘.,문서명과 조항 근거를 반드시 포함
Q016,contract_review,contract_16.pdf,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q017,contract_review,contract_17.pdf,자동갱신 또는 장기 해지통보 조건을 찾아줘.,문서명과 조항 근거를 반드시 포함
Q018,contract_review,contract_18.pdf,자동갱신 또는 장기 해지통보 조건을 찾아줘.,문서명과 조항 근거를 반드시 포함
Q019,contract_review,contract_19.pdf,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,문서명과 조항 근거를 반드시 포함
Q020,contract_review,contract_20.pdf,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q021,contract_review,contract_21.pdf,지식재산권 귀속 조건을 요약해줘.,문서명과 조항 근거를 반드시 포함
Q022,contract_review,contract_22.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q023,contract_review,contract_23.pdf,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q024,contract_review,contract_24.pdf,자동갱신 또는 장기 해지통보 조건을 찾아줘.,문서명과 조항 근거를 반드시 포함
Q025,contract_review,contract_25.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q026,contract_review,contract_01.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q027,contract_review,contract_02.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
Q028,contract_review,contract_03.pdf,자동갱신 또는 장기 해지통보 조건을 찾아줘.,문서명과 조항 근거를 반드시 포함
Q029,contract_review,contract_04.pdf,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,문서명과 조항 근거를 반드시 포함
Q030,contract_review,contract_05.pdf,지식재산권 귀속 조건을 요약해줘.,문서명과 조항 근거를 반드시 포함
Q031,contract_review,contract_06.pdf,손해배상 책임에 상한이 있는지 확인해줘.,문서명과 조항 근거를 반드시 포함
