question_id,question_type,target_document,target_doc_id,question,retrieval_hit,precision,recall,f1,risk_level,confidence,citation_count,is_success,failure_reason,cited_sections
Q001,contract_review,contract_01.pdf,CON-01,자동갱신 또는 장기 해지통보 조건을 찾아줘.,0,1.0,1.0,1.0,MEDIUM,High,8,True,,제7조 자동갱신; 제7조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제5조 자동갱신; 제5조 자동갱신
Q002,contract_review,contract_02.pdf,CON-02,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,High,3,True,,제11조 재위탁승인; 제9조 재위탁승인; 제8조 재위탁승인
Q003,contract_review,contract_03.pdf,CON-03,손해배상 책임에 상한이 있는지 확인해줘.,1,1.0,1.0,1.0,INFO,High,8,True,,제8조 책임상한; 제8조 책임상한; 제11조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한
Q004,contract_review,contract_04.pdf,CON-04,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,0,0.6667,1.0,0.8,HIGH,High,3,True,,3. 위험 등급; 제6조 과도한지체상금; 제7조 일방해지
Q005,contract_review,contract_05.pdf,CON-05,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,1,0.5,1.0,0.6667,HIGH,Medium,2,True,,3. 위험 등급; 제4조 지급기한장기
Q006,contract_review,contract_06.pdf,CON-06,지식재산권 귀속 조건을 요약해줘.,0,1.0,1.0,1.0,INFO,High,2,True,,제7조 기존IP보호; 제9조 지식재산전면양도
Q007,contract_review,contract_07.pdf,CON-07,손해배상 책임에 상한이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,High,8,True,,제8조 책임상한; 제8조 책임상한; 제11조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한
Q008,contract_review,contract_08.pdf,CON-08,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,0,1.0,1.0,1.0,MEDIUM,High,2,True,,제4조 개인정보재위탁; 제11조 재위탁승인
Q009,contract_review,contract_09.pdf,CON-09,지식재산권 귀속 조건을 요약해줘.,1,1.0,1.0,1.0,HIGH,High,1,True,,제9조 지식재산전면양도
Q010,contract_review,contract_10.pdf,CON-10,손해배상 책임에 상한이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,High,2,True,,제8조 책임상한; 제8조 책임상한
Q011,contract_review,contract_11.pdf,CON-11,지식재산권 귀속 조건을 요약해줘.,1,1.0,1.0,1.0,HIGH,High,8,True,,제9조 지식재산전면양도; 제6조 지식재산전면양도; 제6조 지식재산전면양도; 제5조 지식재산전면양도; 제7조 지식재산전면양도; 제7조 지식재산전면양도; 제7조 지식재산전면양도; 제8조 지식재산전면양도
Q012,contract_review,contract_12.pdf,CON-12,자동갱신 또는 장기 해지통보 조건을 찾아줘.,0,1.0,1.0,1.0,INFO,High,3,True,,제7조 자동갱신; 제6조 자동갱신; 제5조 자동갱신
Q013,contract_review,contract_13.pdf,CON-13,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,0,0.5,1.0,0.6667,HIGH,High,2,True,,3. 위험 등급; 제4조 일방해지
Q014,contract_review,contract_14.pdf,CON-14,지식재산권 귀속 조건을 요약해줘.,1,1.0,1.0,1.0,HIGH,High,2,True,,제9조 지식재산전면양도; 제6조 지식재산전면양도
Q015,contract_review,contract_15.pdf,CON-15,지식재산권 귀속 조건을 요약해줘.,0,1.0,1.0,1.0,INFO,High,2,True,,제9조 기존IP보호; 제9조 지식재산전면양도
Q016,contract_review,contract_16.pdf,CON-16,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,None,0,True,,
Q017,contract_review,contract_17.pdf,CON-17,자동갱신 또는 장기 해지통보 조건을 찾아줘.,0,1.0,1.0,1.0,MEDIUM,High,1,True,,제5조 자동갱신
Q018,contract_review,contract_18.pdf,CON-18,자동갱신 또는 장기 해지통보 조건을 찾아줘.,1,1.0,1.0,1.0,INFO,High,8,True,,제7조 자동갱신; 제7조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제5조 자동갱신; 제5조 자동갱신
Q019,contract_review,contract_19.pdf,CON-19,이 계약서의 가장 높은 위험 조항은 무엇이며 근거를 제시해줘.,0,0.75,1.0,0.8571,HIGH,High,4,True,,3. 위험 등급; 제4조 데이터영구보관; 제5조 자동갱신; 제6조 과도한경업금지
Q020,contract_review,contract_20.pdf,CON-20,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,High,3,True,,제11조 재위탁승인; 제11조 재위탁승인; 제9조 재위탁승인
Q021,contract_review,contract_21.pdf,CON-21,지식재산권 귀속 조건을 요약해줘.,1,1.0,1.0,1.0,HIGH,High,1,True,,제9조 지식재산전면양도
Q022,contract_review,contract_22.pdf,CON-22,손해배상 책임에 상한이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,High,1,True,,제8조 책임상한
Q023,contract_review,contract_23.pdf,CON-23,개인정보 재위탁과 관련된 조항이 있는지 확인해줘.,1,1.0,1.0,1.0,INFO,High,1,True,,제11조 재위탁승인
Q024,contract_review,contract_24.pdf,CON-24,자동갱신 또는 장기 해지통보 조건을 찾아줘.,0,1.0,1.0,1.0,INFO,High,3,True,,제7조 자동갱신; 제7조 자동갱신; 제6조 자동갱신
Q025,contract_review,contract_25.pdf,CON-25,손해배상 책임에 상한이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,High,8,True,,제8조 책임상한; 제8조 책임상한; 제11조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한
Q026,contract_review,contract_01.pdf,CON-01,손해배상 책임에 상한이 있는지 확인해줘.,0,1.0,1.0,1.0,INFO,High,8,True,,제8조 책임상한; 제8조 책임상한; 제11조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한; 제10조 책임상한
Q027,contract_review,contract_02.pdf,CON-02,손해배상 책임에 상한이 있는지 확인해줘.,0,1.0,1.0,1.0,MEDIUM,High,2,True,,제8조 책임상한; 제8조 책임무제한
Q028,contract_review,contract_03.pdf,CON-03,자동갱신 또는 장기 해지통보 조건을 찾아줘.,1,1.0,1.0,1.0,INFO,High,8,True,,제7조 자동갱신; 제7조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제6조 자동갱신; 제5조 자동갱신; 제5조 자동갱신
